date_time,file_type,encoded_id,badge_type,value,times_achieved,name,short_name,earned_message,description,category,share_text,unit
2016-03-05,badge,229843,DAILY_FLOORS,75,5,Ferris Wheel (75 floors in a day),Ferris Wheel,Congrats on earning your first Ferris Wheel badge!,75 floors in a day,Daily Climb,I climbed 75 flights of stairs and earned the Ferris Wheel badge! #Fitbit,NA
2019-04-14,badge,228TT7,DAILY_FLOORS,50,21,Lighthouse (50 floors in a day),Lighthouse,Congrats on earning your first Lighthouse badge!,50 floors in a day,Daily Climb,I climbed 50 flights of stairs and earned the Lighthouse badge! #Fitbit,NA
2019-04-14,badge,228TSZ,DAILY_FLOORS,25,206,Redwood Forest (25 floors in a day),Redwood Forest,Congrats on earning your first Redwood Forest badge!,25 floors in a day,Daily Climb,I climbed 25 flights of stairs and earned the Redwood Forest badge! #Fitbit,NA
2019-04-17,badge,228TTM,DAILY_FLOORS,10,712,Happy Hill (10 floors in a day),Happy Hill,Congrats on earning your first Happy Hill badge!,10 floors in a day,Daily Climb,I climbed 10 flights of stairs and earned the Happy Hill badge! #Fitbit,NA
2019-01-05,badge,22B8MQ,LIFETIME_DISTANCE,4132,1,"Nile (4,132 lifetime miles)",Nile,Whoa! You've earned the Nile badge!,"4,132 lifetime miles",Lifetime Distance,"I covered 4,132 miles with my #Fitbit and earned the Nile badge.",MILES
2018-03-08,badge,22B8MP,LIFETIME_DISTANCE,2983,1,"Sahara (2,983 lifetime miles)",Sahara,Whoa! You've earned the Sahara badge!,"2,983 lifetime miles",Lifetime Distance,"I covered 2,983 miles with my #Fitbit and earned the Sahara badge.",MILES
2017-11-03,badge,22B8MJ,LIFETIME_DISTANCE,2500,1,"Monarch Migration (2,500 lifetime miles)",Monarch Migration,Whoa! You've earned the Monarch Migration badge!,"2,500 lifetime miles",Lifetime Distance,"I covered 2,500 miles with my #Fitbit and earned the Monarch Migration badge.",MILES
2017-07-04,badge,22B8MH,LIFETIME_DISTANCE,1997,1,"India (1,997 lifetime miles)",India,Whoa! You've earned the India badge!,"1,997 lifetime miles",Lifetime Distance,"I covered 1,997 miles with my #Fitbit and earned the India badge.",MILES
2017-06-01,badge,22B8ML,LIFETIME_DISTANCE,1869,1,"Japan (1,869 lifetime miles)",Japan,Whoa! You've earned the Japan badge!,"1,869 lifetime miles",Lifetime Distance,"I covered 1,869 miles with my #Fitbit and earned the Japan badge.",MILES
2017-03-16,badge,22B8MK,LIFETIME_DISTANCE,1600,1,"Great Barrier Reef (1,600 lifetime miles)",Great Barrier Reef,Whoa! You've earned the Great Barrier Reef badge!,"1,600 lifetime miles",Lifetime Distance,"I covered 1,600 miles with my #Fitbit and earned the Great Barrier Reef badge.",MILES
2016-09-24,badge,22B8MD,LIFETIME_DISTANCE,990,1,New Zealand (990 lifetime miles),New Zealand,Whoa! You've earned the New Zealand badge!,990 lifetime miles,Lifetime Distance,I covered 990 miles with my #Fitbit and earned the New Zealand badge.,MILES
2016-07-19,badge,22B8MC,LIFETIME_DISTANCE,736,1,Italy (736 lifetime miles),Italy,Whoa! You've earned the Italy badge!,736 lifetime miles,Lifetime Distance,I covered 736 miles with my #Fitbit and earned the Italy badge.,MILES
2016-06-07,badge,22B8MG,LIFETIME_DISTANCE,500,1,Serengeti (500 lifetime miles),Serengeti,Whoa! You've earned the Serengeti badge!,500 lifetime miles,Lifetime Distance,I covered 500 miles with my #Fitbit and earned the Serengeti badge.,MILES
2016-03-26,badge,22B8M8,LIFETIME_DISTANCE,250,1,London Underground (250 lifetime miles),London Underground,Whoa! You've earned the London Underground badge!,250 lifetime miles,Lifetime Distance,I covered 250 miles with my #Fitbit and earned the London Underground badge.,MILES
2016-02-08,badge,22B8M7,LIFETIME_DISTANCE,70,1,Penguin March (70 lifetime miles),Penguin March,Whoa! You've earned the Penguin March badge!,70 lifetime miles,Lifetime Distance,I covered 70 miles with my #Fitbit and earned the Penguin March badge.,MILES
2016-01-29,badge,22B8MB,LIFETIME_DISTANCE,26,1,Marathon (26 lifetime miles),Marathon,Whoa! You've earned the Marathon badge!,26 lifetime miles,Lifetime Distance,I covered 26 miles with my #Fitbit and earned the Marathon badge.,MILES
2018-09-05,badge,228TKC,LIFETIME_FLOORS,14000,1,"Spaceship (14,000 lifetime floors)",Spaceship,Yipee! You've earned the Spaceship badge!,"14,000 lifetime floors",Lifetime Climb,"I climbed 14,000 floors with my #Fitbit and earned the Spaceship badge.",NA
2017-09-04,badge,228TK5,LIFETIME_FLOORS,8000,1,"Cloud (8,000 lifetime floors)",Cloud,Yipee! You've earned the Cloud badge!,"8,000 lifetime floors",Lifetime Climb,"I climbed 8,000 floors with my #Fitbit and earned the Cloud badge.",NA
2016-09-06,badge,228TKR,LIFETIME_FLOORS,4000,1,"747 (4,000 lifetime floors)",747,Yipee! You've earned the 747 badge!,"4,000 lifetime floors",Lifetime Climb,"I climbed 4,000 floors with my #Fitbit and earned the 747 badge.",NA
2016-05-19,badge,228T9T,LIFETIME_FLOORS,2000,1,"Hot Air Balloon (2,000 lifetime floors)",Hot Air Balloon,Yipee! You've earned the Hot Air Balloon badge!,"2,000 lifetime floors",Lifetime Climb,"I climbed 2,000 floors with my #Fitbit and earned the Hot Air Balloon badge.",NA
2016-03-05,badge,228T9C,LIFETIME_FLOORS,1000,1,"Skydiver (1,000 lifetime floors)",Skydiver,Yipee! You've earned the Skydiver badge!,"1,000 lifetime floors",Lifetime Climb,"I climbed 1,000 floors with my #Fitbit and earned the Skydiver badge.",NA
2016-03-01,badge,228TB8,LIFETIME_FLOORS,500,1,Helicopter (500 lifetime floors),Helicopter,Yipee! You've earned the Helicopter badge!,500 lifetime floors,Lifetime Climb,I climbed 500 floors with my #Fitbit and earned the Helicopter badge.,NA
2019-04-15,badge,2297TZ,GOAL_BASED_WEIGHT_LOSS,10,140,-10 lb Weight Loss,-10 lb Weight Loss,You've lost 10 lbs! Congrats on progress towards your weight goal.,-10 pounds,Weight Goal,I lost 10 pounds on #Fitbit.,POUNDS
2019-04-15,badge,2297TY,GOAL_BASED_WEIGHT_LOSS,5,272,-5 lb Weight Loss,-5 lb Weight Loss,You've lost 5 lbs! Congrats on progress towards your weight goal.,-5 pounds,Weight Goal,I lost 5 pounds on #Fitbit.,POUNDS
2016-01-28,badge,22984Y,LIFETIME_WEIGHT_GOAL_SETUP,1,1,Weight Goal Set,Weight Goal Set,NA,Weight Goal,Weight Goal,I set a weight goal. #Fitbit,NA
2017-12-12,badge,22984Z,GOAL_BASED_WEIGHT_LOSS_ACHIEVEMENT,NA,6,Weight Goal Met,Weight Goal Met,You nailed it! You achieved your weight loss goal!,Weight Goal,Weight Goal,I reached my weight goal. #Fitbit,NA
